temperature,pH,substrate_conc,reaction_time,enzyme_conc,agitation_speed,pressure,catalyst_type,feedstock_type,linoleic_acid_yield
47.640014854068646,6.8749545921149675,111.97489502306007,8.193369379873815,3.279959952431473,190.38680113039464,1.8405852176979276,Lipase_C,Sunflower_Oil,5.0
48.53870548826712,7.325737600871126,187.7539979891805,9.530598343847968,2.778627614391768,169.50950876477737,2.0029679796236217,Lipase_A,Safflower_Oil,5.0
44.19742774358038,6.269739722230557,106.9176021147301,9.597721226707241,2.2637310050619104,171.29034393320455,2.0347256208284707,Chemical_Cat,Sunflower_Oil,5.0
43.86380880710885,6.839931914473892,160.40741658872912,9.490128347463116,3.124865360524078,230.26168590493864,1.0,Lipase_C,Soybean_Oil,5.0
36.479524096764614,7.489229243099354,118.17177419435248,10.12540666487859,2.411213442121366,255.20106265603346,2.3585542932400148,Lipase_C,Corn_Oil,5.0
40.92313340323514,6.7455649839352825,140.28806602691387,7.437326606894271,2.189685455774531,172.42944318896284,1.48186435607031,Chemical_Cat,Sunflower_Oil,5.0
26.741808137529393,7.242090115157376,101.6589234145691,7.867260907858599,2.4063522042285275,216.09598931917463,2.0485201982286467,Lipase_A,Sunflower_Oil,5.0
38.44664761388097,8.328771002896097,203.56244830447906,10.675330282385058,2.199986563646334,160.30213352708756,1.4134082543523845,Lipase_B,Corn_Oil,5.0
41.09503732752715,5.5,199.39563270585307,9.743571203408354,1.891957213690953,186.8711927810204,1.726080602151962,Lipase_C,Safflower_Oil,5.0
45.94560095178244,7.484916697710265,171.75217974957846,4.1519789083752165,3.0859187016448546,157.51573759601916,1.0,Lipase_A,Corn_Oil,5.0
48.182748511598945,7.631143383013155,129.86319976006013,10.2125003787912,2.4031154481655594,278.9583007734156,1.9995200530652943,Lipase_C,Safflower_Oil,5.0
50.22575464008653,6.9482937947545445,159.8509632680762,9.560337983155161,3.33494915268267,231.4173661497044,1.5073421118148582,Chemical_Cat,Sunflower_Oil,5.0
